"sku","product_name","description","mfg_part_no","manufacturer","category","base_price","retail_price","quantity","status"
"","Dock WD19S / 130W","WD19S / 130W","WD19S / 130W","Dell","Docking Stations & Hubs","1yr","1yr","0","active"
"","Dock WD22TB4 / Thunderbolt 4","WD22TB4 / Thunderbolt 4","WD22TB4 / Thunderbolt 4","Dell","Docking Stations & Hubs","1yr","1yr","0","active"
"","Dock G5 Essential USB-C Dock / 65W","G5 Essential USB-C Dock / 65W","G5 Essential USB-C Dock / 65W","HP","Docking Stations & Hubs","1yr","1yr","0","active"
"","Dock Thunderbolt G4 / 120W Dock","Thunderbolt G4 / 120W Dock","Thunderbolt G4 / 120W Dock","HP","Docking Stations & Hubs","1yr","1yr","0","active"
"","Dock ThinkPad Universal USB-C Dock / 40AY0090US","ThinkPad Universal USB-C Dock / 40AY0090US","ThinkPad Universal USB-C Dock / 40AY0090US","Lenovo","Docking Stations & Hubs","1yr","1yr","0","active"
"","Dock TS4 Thunderbolt 4","TS4 Thunderbolt 4","TS4 Thunderbolt 4","CalDigit","Docking Stations & Hubs","2yr","2yr","0","active"
"","Hub SD4840P USB4 / K33550WW","SD4840P USB4 / K33550WW","SD4840P USB4 / K33550WW","Kensington","Docking Stations & Hubs","2yr","2yr","0","active"
"","LaserJet LaserJet Pro M404dn / W1A53A","LaserJet Pro M404dn / W1A53A","LaserJet Pro M404dn / W1A53A","HP","Printers & Scanners","$280–$350","$280–$350","0","active"
"","LaserJet LaserJet Enterprise M507dn / 1PV87A","LaserJet Enterprise M507dn / 1PV87A","LaserJet Enterprise M507dn / 1PV87A","HP","Printers & Scanners","$500–$650","$500–$650","0","active"
"","Color LaserJet Color LaserJet Pro M454dn / W1Y44A","Color LaserJet Pro M454dn / W1Y44A","Color LaserJet Pro M454dn / W1Y44A","HP","Printers & Scanners","$380–$480","$380–$480","0","active"
"","Laser MFP MFC-L8905CDW / MFCL8905CDW","MFC-L8905CDW / MFCL8905CDW","MFC-L8905CDW / MFCL8905CDW","Brother","Printers & Scanners","$500–$620","$500–$620","0","active"
"","Laser MS431dn / 29S0060","MS431dn / 29S0060","MS431dn / 29S0060","Lexmark","Printers & Scanners","$350–$430","$350–$430","0","active"
"","Label ZD421 / ZD4A042-301E00EZ","ZD421 / ZD4A042-301E00EZ","ZD421 / ZD4A042-301E00EZ","Zebra","Printers & Scanners","$300–$380","$300–$380","0","active"
"","Scanner imageFORMULA DR-C230","imageFORMULA DR-C230","imageFORMULA DR-C230","Canon","Printers & Scanners","$280–$360","$280–$360","0","active"
"","Scanner fi-8150 / PA03810-B055","fi-8150 / PA03810-B055","fi-8150 / PA03810-B055","Fujitsu","Printers & Scanners","$1,200–$1,600","$1,200–$1,600","0","active"
"","Switch CBS350-24T-4G-NA","CBS350-24T-4G-NA","CBS350-24T-4G-NA","Cisco","Networking","Limited Lifetime","Limited Lifetime","0","active"
"","Switch CBS350-24P-4G-NA","CBS350-24P-4G-NA","CBS350-24P-4G-NA","Cisco","Networking","Limited Lifetime","Limited Lifetime","0","active"
"","Switch CBS350-48T-4X-NA","CBS350-48T-4X-NA","CBS350-48T-4X-NA","Cisco","Networking","Limited Lifetime","Limited Lifetime","0","active"
"","Switch MS120-8FP-HW","MS120-8FP-HW","MS120-8FP-HW","Meraki","Networking","Lifetime hw + 1yr lic","Lifetime hw + 1yr lic","0","active"
"","AP MR56-HW","MR56-HW","MR56-HW","Meraki","Networking","Lifetime hw + 1yr lic","Lifetime hw + 1yr lic","0","active"
"","AP U6-Pro-US","U6-Pro-US","U6-Pro-US","Ubiquiti","Networking","1yr","1yr","0","active"
"","Switch USW-Pro-48-POE-US","USW-Pro-48-POE-US","USW-Pro-48-POE-US","Ubiquiti","Networking","1yr","1yr","0","active"
"","Firewall FG-60F","FG-60F","FG-60F","Fortinet","Networking","1yr FortiCare","1yr FortiCare","0","active"
"","Firewall FG-100F","FG-100F","FG-100F","Fortinet","Networking","1yr FortiCare","1yr FortiCare","0","active"
"","Switch JL255A (2930F 48G)","JL255A (2930F 48G)","JL255A (2930F 48G)","HPE Aruba","Networking","Lifetime","Lifetime","0","active"
"","RAM KVR32N22S8/8","KVR32N22S8/8","KVR32N22S8/8","Kingston","Memory & Storage Upgrades","","","0","active"
"","RAM KVR32N22D8/16","KVR32N22D8/16","KVR32N22D8/16","Kingston","Memory & Storage Upgrades","","","0","active"
"","RAM KSM32SES8/8MR","KSM32SES8/8MR","KSM32SES8/8MR","Kingston","Memory & Storage Upgrades","","","0","active"
"","RAM CT16G4SFRA32A","CT16G4SFRA32A","CT16G4SFRA32A","Crucial","Memory & Storage Upgrades","","","0","active"
"","SSD MZ-77E1T0B/AM","MZ-77E1T0B/AM","MZ-77E1T0B/AM","Samsung","Memory & Storage Upgrades","","","0","active"
"","SSD MZ-V8P1T0B/AM","MZ-V8P1T0B/AM","MZ-V8P1T0B/AM","Samsung","Memory & Storage Upgrades","","","0","active"
"","SSD WDS200T3X0E","WDS200T3X0E","WDS200T3X0E","WD","Memory & Storage Upgrades","","","0","active"
"","HDD ST4000VN006","ST4000VN006","ST4000VN006","Seagate","Memory & Storage Upgrades","","","0","active"
"","USB DTXM/64GB","DTXM/64GB","DTXM/64GB","Kingston","Memory & Storage Upgrades","","","0","active"
"","Ext. Drive WDBAGF0040HBK-NESN","WDBAGF0040HBK-NESN","WDBAGF0040HBK-NESN","WD","Memory & Storage Upgrades","","","0","active"
"","HDMI AV10091bt2M-BLK","AV10091bt2M-BLK","AV10091bt2M-BLK","Belkin","Cables & Adapters","","","0","active"
"","DisplayPort DP14MM3M","DP14MM3M","DP14MM3M","StarTech","Cables & Adapters","","","0","active"
"","USB-C to HDMI CDP2HDMM2MH","CDP2HDMM2MH","CDP2HDMM2MH","StarTech","Cables & Adapters","","","0","active"
"","USB-C U420-C06-5A3","U420-C06-5A3","U420-C06-5A3","Tripp Lite","Cables & Adapters","","","0","active"
"","Cat6 Patch 27150","27150","27150","C2G","Cables & Adapters","","","0","active"
"","Cat6A Patch 6ASPAT7GRS","6ASPAT7GRS","6ASPAT7GRS","StarTech","Cables & Adapters","","","0","active"
"","USB-A to USB-C CAB001bt2M-BLK","CAB001bt2M-BLK","CAB001bt2M-BLK","Belkin","Cables & Adapters","","","0","active"
"","Thunderbolt 4 44258","44258","44258","Monoprice","Cables & Adapters","","","0","active"
"","PowerEdge PowerEdge R250 / 210-BBOP","PowerEdge R250 / 210-BBOP","PowerEdge R250 / 210-BBOP","Dell","Servers & Storage","3yr ProSupport","3yr ProSupport","0","active"
