"sku","product_name","description","mfg_part_no","manufacturer","category","base_price","retail_price","quantity","status"
"XLS-9-0001","Dock WD19S / 130W","WD19S / 130W","WD19S / 130W","Dell","Docking Stations & Hubs","1yr","1yr","0","active"
"XLS-9-0002","Dock WD22TB4 / Thunderbolt 4","WD22TB4 / Thunderbolt 4","WD22TB4 / Thunderbolt 4","Dell","Docking Stations & Hubs","1yr","1yr","0","active"
"XLS-9-0003","Dock G5 Essential USB-C Dock / 65W","G5 Essential USB-C Dock / 65W","G5 Essential USB-C Dock / 65W","HP","Docking Stations & Hubs","1yr","1yr","0","active"
"XLS-9-0004","Dock Thunderbolt G4 / 120W Dock","Thunderbolt G4 / 120W Dock","Thunderbolt G4 / 120W Dock","HP","Docking Stations & Hubs","1yr","1yr","0","active"
"XLS-9-0005","Dock ThinkPad Universal USB-C Dock / 40AY0090US","ThinkPad Universal USB-C Dock / 40AY0090US","ThinkPad Universal USB-C Dock / 40AY0090US","Lenovo","Docking Stations & Hubs","1yr","1yr","0","active"
"XLS-9-0006","Dock TS4 Thunderbolt 4","TS4 Thunderbolt 4","TS4 Thunderbolt 4","CalDigit","Docking Stations & Hubs","2yr","2yr","0","active"
"XLS-9-0007","Hub SD4840P USB4 / K33550WW","SD4840P USB4 / K33550WW","SD4840P USB4 / K33550WW","Kensington","Docking Stations & Hubs","2yr","2yr","0","active"
"XLS-7-0001","LaserJet LaserJet Pro M404dn / W1A53A","LaserJet Pro M404dn / W1A53A","LaserJet Pro M404dn / W1A53A","HP","Printers & Scanners","$280–$350","$280–$350","0","active"
"XLS-7-0002","LaserJet LaserJet Enterprise M507dn / 1PV87A","LaserJet Enterprise M507dn / 1PV87A","LaserJet Enterprise M507dn / 1PV87A","HP","Printers & Scanners","$500–$650","$500–$650","0","active"
"XLS-7-0003","Color LaserJet Color LaserJet Pro M454dn / W1Y44A","Color LaserJet Pro M454dn / W1Y44A","Color LaserJet Pro M454dn / W1Y44A","HP","Printers & Scanners","$380–$480","$380–$480","0","active"
"XLS-7-0004","Laser MFP MFC-L8905CDW / MFCL8905CDW","MFC-L8905CDW / MFCL8905CDW","MFC-L8905CDW / MFCL8905CDW","Brother","Printers & Scanners","$500–$620","$500–$620","0","active"
"XLS-7-0005","Laser MS431dn / 29S0060","MS431dn / 29S0060","MS431dn / 29S0060","Lexmark","Printers & Scanners","$350–$430","$350–$430","0","active"
"XLS-7-0006","Label ZD421 / ZD4A042-301E00EZ","ZD421 / ZD4A042-301E00EZ","ZD421 / ZD4A042-301E00EZ","Zebra","Printers & Scanners","$300–$380","$300–$380","0","active"
"XLS-7-0007","Scanner imageFORMULA DR-C230","imageFORMULA DR-C230","imageFORMULA DR-C230","Canon","Printers & Scanners","$280–$360","$280–$360","0","active"
"XLS-7-0008","Scanner fi-8150 / PA03810-B055","fi-8150 / PA03810-B055","fi-8150 / PA03810-B055","Fujitsu","Printers & Scanners","$1,200–$1,600","$1,200–$1,600","0","active"
"XLS-5-0001","Switch CBS350-24T-4G-NA","CBS350-24T-4G-NA","CBS350-24T-4G-NA","Cisco","Networking","Limited Lifetime","Limited Lifetime","0","active"
"XLS-5-0002","Switch CBS350-24P-4G-NA","CBS350-24P-4G-NA","CBS350-24P-4G-NA","Cisco","Networking","Limited Lifetime","Limited Lifetime","0","active"
"XLS-5-0003","Switch CBS350-48T-4X-NA","CBS350-48T-4X-NA","CBS350-48T-4X-NA","Cisco","Networking","Limited Lifetime","Limited Lifetime","0","active"
"XLS-5-0004","Switch MS120-8FP-HW","MS120-8FP-HW","MS120-8FP-HW","Meraki","Networking","Lifetime hw + 1yr lic","Lifetime hw + 1yr lic","0","active"
"XLS-5-0005","AP MR56-HW","MR56-HW","MR56-HW","Meraki","Networking","Lifetime hw + 1yr lic","Lifetime hw + 1yr lic","0","active"
"XLS-5-0006","AP U6-Pro-US","U6-Pro-US","U6-Pro-US","Ubiquiti","Networking","1yr","1yr","0","active"
"XLS-5-0007","Switch USW-Pro-48-POE-US","USW-Pro-48-POE-US","USW-Pro-48-POE-US","Ubiquiti","Networking","1yr","1yr","0","active"
"XLS-5-0008","Firewall FG-60F","FG-60F","FG-60F","Fortinet","Networking","1yr FortiCare","1yr FortiCare","0","active"
"XLS-5-0009","Firewall FG-100F","FG-100F","FG-100F","Fortinet","Networking","1yr FortiCare","1yr FortiCare","0","active"
"XLS-5-0010","Switch JL255A (2930F 48G)","JL255A (2930F 48G)","JL255A (2930F 48G)","HPE Aruba","Networking","Lifetime","Lifetime","0","active"
"XLS-8-0001","RAM KVR32N22S8/8","KVR32N22S8/8","KVR32N22S8/8","Kingston","Memory & Storage Upgrades","","","0","active"
"XLS-8-0002","RAM KVR32N22D8/16","KVR32N22D8/16","KVR32N22D8/16","Kingston","Memory & Storage Upgrades","","","0","active"
"XLS-8-0003","RAM KSM32SES8/8MR","KSM32SES8/8MR","KSM32SES8/8MR","Kingston","Memory & Storage Upgrades","","","0","active"
