sku,mfg_part_no,product_name,brand,category,base_price
8810001,AV10091bt1MBLK,Belkin HDMI AV10091bt1M 1M,Belkin,Cables,15.0
8810002,AV10091bt2MBLK,Belkin HDMI AV10091bt2M 2M,Belkin,Cables,19.0
8810003,AV10091bt3MBLK,Belkin HDMI AV10091bt3M 3M,Belkin,Cables,24.0
8817001,P568-006-8K6G,Tripp Lite HDMI 2.1 P568-006-8K6G 1.8M,Tripp Lite,Cables,24.0
8817002,P568-010-8K6G,Tripp Lite HDMI 2.1 P568-010-8K6G 3M,Tripp Lite,Cables,29.0
8817003,15428,Monoprice HDMI 15428 1.8M,Monoprice,Cables,9.0
8817004,15429,Monoprice HDMI 15429 3M,Monoprice,Cables,12.0
8070907,127361.8MFLAT,Monoprice Flat HDMI 12736 1.8M Flat,Monoprice,Cables,11.0
8000271,HD2MM7MA7M,StarTech HDMI Active HD2MM7MA 7M,StarTech,Cables,44.0
8094858,F2CD028BT1M,Belkin HDMI to VGA F2CD028bt1M,Belkin,Cables,18.0
8811001,DP14MM2M,StarTech DisplayPort DP14MM2M 2M,StarTech,Cables,22.0
8811002,DP14MM3M,StarTech DisplayPort DP14MM3M 3M,StarTech,Cables,27.0
8010630,MDP-HDMI1.8M,Monoprice Mini DP to HDMI mDP-HDMI 1.8M,Monoprice,Cables,12.0
8024720,DP-HDMI1.8M,Monoprice DP to HDMI DP-HDMI 1.8M,Monoprice,Cables,14.0
8063173,DP2HDMM1MB1M,StarTech DP to HDMI 2.0 DP2HDMM1MB 1M,StarTech,Cables,22.0
8811003,CDP2HDMM1MH,StarTech USB-C to HDMI CDP2HDMM1MH 1M,StarTech,Cables,19.0
8811004,CDP2HDMM2MH,StarTech USB-C to HDMI CDP2HDMM2MH 2M,StarTech,Cables,24.0
8811005,CDP2DP14B1M,StarTech USB-C to DP CDP2DP14B1M 1M,StarTech,Cables,22.0
8037374,AVC017BT1MBK1M,Belkin USB-C to DP AVC017bt1MBK 1M,Belkin,Cables,29.0
8080872,U444-003-DP-BE1M,Tripp Lite USB-C to DP U444-003-DP-BE 1M,Tripp Lite,Cables,27.0
8050270,CDP2VGAEC1.8M,StarTech USB-C to VGA CDP2VGAEC 1.8M,StarTech,Cables,24.0
8812001,U420-C06-5A3,Tripp Lite USB-C PD U420-C06-5A3 1.8M,Tripp Lite,Cables,24.0
8812002,U420-10M-5A3,Tripp Lite USB-C PD U420-10M-5A3 3M,Tripp Lite,Cables,32.0
8814001,CAB001bt1MBK4,Belkin USB-A to USB-C CAB001bt1M 1M,Belkin,Cables,14.0
8814002,CAB001bt2MBK4,Belkin USB-A to USB-C CAB001bt2M 2M,Belkin,Cables,18.0
8086330,USB31CUB50CM0.5M,StarTech USB-C to Micro-B USB31CUB50CM 0.5M,StarTech,Cables,14.0
8039765,USB3AUB1M1M,StarTech USB-A to Micro-B USB3AUB1M 1M,StarTech,Cables,12.0
8072561,U022-0061.8M,Tripp Lite USB-A to B U022-006 1.8M,Tripp Lite,Cables,8.0
8083833,USB3EXT31M,StarTech USB-A Extension USB3EXT3 1M,StarTech,Cables,14.0
8043374,U324-0103M,Tripp Lite USB-A Extension U324-010 3M,Tripp Lite,Cables,18.0
8815001,44258,Monoprice Thunderbolt 4 44258 0.8M,Monoprice,Cables,29.0
8815002,44259,Monoprice Thunderbolt 4 44259 2M,Monoprice,Cables,39.0
8041669,247210.5M,Monoprice Thunderbolt 3 24721 0.5M,Monoprice,Cables,19.0
8056185,003951.5M,C2G Cat5e Patch 00395 1.5M,C2G,Cables,7.0
8094084,003973M,C2G Cat5e Patch 00397 3M,C2G,Cables,9.0
8813001,27150,C2G Cat6 Patch 27150 1.5M,C2G,Cables,9.0
8813002,27152,C2G Cat6 Patch 27152 3M,C2G,Cables,12.0
8813003,27153,C2G Cat6 Patch 27153 5M,C2G,Cables,15.0
8085755,N200-007-BL2.1M,Tripp Lite Cat6 Patch N200-007-BL 2.1M,Tripp Lite,Cables,10.0
8813004,43029,C2G Cat6A STP Patch 43029 1M,C2G,Cables,14.0
8813005,43030,C2G Cat6A STP Patch 43030 3M,C2G,Cables,18.0
8018226,6ASPAT7GRS2.1M,StarTech Cat6A Patch 6ASPAT7GRS 2.1M,StarTech,Cables,16.0
8014970,135750.5M,Monoprice Cat6A Patch 13575 0.5M,Monoprice,Cables,10.0
8095990,C6011000250.75M,Belden Cat6A UTP Patch C601100025 0.75M,Belden,Cables,12.0
8012043,STP6X3MBL3M,Panduit Cat6A STP Patch STP6X3MBL 3M,Panduit,Cables,18.0
8816001,FIBPATCH3MSCSC,StarTech Fiber SC-SC FIBPATCH3MSCSC 3M,StarTech,Cables,14.0
8816002,N820-10M,Tripp Lite Fiber LC-LC N820-10M 10M,Tripp Lite,Cables,19.0
8086205,CA216010095M,Belden Fiber LC-SC CA21601009 5M,Belden,Cables,18.0
8816003,SFP10GPC0.5M,StarTech SFP+ DAC SFP10GPC0.5M 0.5M,StarTech,Cables,19.0
8816004,SFP10GPC3M,StarTech SFP+ DAC SFP10GPC3M 3M,StarTech,Cables,29.0
8016358,QSFP28-2XSFP283M,Belden QSFP28 DAC QSFP28-2XSFP28 3M,Belden,Cables,69.0
8818001,P004-006,Tripp Lite Power C13-C14 P004-006 1.8M,Tripp Lite,Cables,10.0
8818002,P006-006,Tripp Lite Power C13-NEMA P006-006 1.8M,Tripp Lite,Cables,10.0
8043793,PXTC19C20M1M,StarTech C19 to C20 PXTC19C20M 1M,StarTech,Cables,12.0
8090518,544506-IN-1,C2G USB-C Hub 54450 6-in-1,C2G,Cables,59.0
8037270,HB31C2A1CBTB34-PORT,StarTech USB-C Hub HB31C2A1CB TB3 4-Port,StarTech,Cables,99.0
8093130,ST4300MINU3B4-PORT,StarTech USB-A Hub ST4300MINU3B 4-Port,StarTech,Cables,29.0
8065563,AVC005BTBK7-PORT,Belkin USB-C Hub AVC005btBK 7-Port,Belkin,Cables,49.0
8003719,B004-2DUA4-K4-PORT,Tripp Lite KVM Switch B004-2DUA4-K 4-Port,Tripp Lite,Cables,349.0
8819002,SV231DPUA,StarTech KVM Switch SV231DPUA 2-Port,StarTech,Cables,199.0
8023553,GCS1762BTKIT2-PORT,IOGEAR KVM Switch GCS1762BTKIT 2-Port,IOGEAR,Cables,99.0
8000494,F1DN102E-32-PORT,Belkin KVM Switch F1DN102E-3 2-Port,Belkin,Cables,349.0
8819001,ST122HD20S,StarTech HDMI Splitter ST122HD20S 1-to-2,StarTech,Cables,59.0
8027208,152681.8M,Monoprice VGA 15268 1.8M,Monoprice,Cables,8.0
8084981,VGAEXTAA103M,StarTech VGA Extension VGAEXTAA10 3M,StarTech,Cables,14.0
8071500,269211.8M,C2G DVI-D 26921 1.8M,C2G,Cables,12.0
8089874,P566-0061.8M,Tripp Lite DVI to HDMI P566-006 1.8M,Tripp Lite,Cables,14.0
8045021,P030-006RS2321.8M,Tripp Lite Serial P030-006 RS232 1.8M,Tripp Lite,Cables,14.0
8082681,ICUSB232V2,StarTech USB-A to Serial ICUSB232V2,StarTech,Cables,22.0
8095016,ICUSBC232,StarTech USB-C to Serial ICUSBC232,StarTech,Cables,27.0
8070111,ST121HDBTPW70M,StarTech HDMI Extender ST121HDBTPW 70M,StarTech,Cables,129.0
8038302,B120-000USB,Tripp Lite KVM Extender B120-000 USB,Tripp Lite,Cables,99.0
8055443,USB-C-A1.8M,Monoprice USB-C to USB-A USB-C-A 1.8M,Monoprice,Cables,12.0
8074778,4MTB4,Tripp Lite Thunderbolt 4 Active 4M TB4,Tripp Lite,Cables,89.0
8023235,CDPVGDVHD4K4-IN-1,StarTech USB-C Multiport CDPVGDVHD4K 4-in-1,StarTech,Cables,79.0
8010002,CAA001BT1M1M,Belkin USB-C to Lightning CAA001bt1M 1M,Belkin,Cables,19.0
8074423,MDP2DPMM1M1M,StarTech Mini DP to DP MDP2DPMM1M 1M,StarTech,Cables,14.0
8068588,60177EXTENDER40M,C2G HDMI Extender 60177 Extender 40M,C2G,Cables,79.0
8071358,1024161M,Monoprice Fiber SC-SC OM4 102416 1M,Monoprice,Cables,12.0
8042417,UTPSP7MBLY2.1M,Panduit Cat6 Patch UTPSP7MBLY 2.1M,Panduit,Cables,11.0
8001626,U442-DOCK20-B10-PORT,Tripp Lite USB-C Hub U442-DOCK20-B 10-Port,Tripp Lite,Cables,129.0
8014355,UM10041-TO-4,Monoprice HDMI Splitter UM1004 1-to-4,Monoprice,Cables,59.0
8098767,PXTM15C13M123.6M,StarTech Power NEMA-IEC PXTM15C13M12 3.6M,StarTech,Cables,12.0
8035537,C5011040250.75M,Belden Cat6 Patch C501104025 0.75M,Belden,Cables,9.0
8037198,N820-02M2M,Tripp Lite Fiber LC-LC OM3 N820-02M 2M,Tripp Lite,Cables,12.0
8009790,3304710M,C2G Fiber SC-LC 33047 10M,C2G,Cables,24.0
8075350,US1GC30B,StarTech USB-C to RJ45 US1GC30B,StarTech,Cables,19.0
8041658,USBC-E1000,Plugable USB-A to RJ45 USBC-E1000,Plugable,Cables,19.0
8071769,35538,Monoprice USB-C Hub 7-Port 35538,Monoprice,Cables,49.0
8031819,MST30C2DPPD,StarTech DisplayPort Switch MST30C2DPPD,StarTech,Cables,89.0
8810001,AV10091bt1MBLK,Belkin HDMI AV10091bt1M 1M,Belkin,Cables,15.0
8810002,AV10091bt2MBLK,Belkin HDMI AV10091bt2M 2M,Belkin,Cables,19.0
8810003,AV10091bt3MBLK,Belkin HDMI AV10091bt3M 3M,Belkin,Cables,24.0
8817001,P568-006-8K6G,Tripp Lite HDMI 2.1 P568-006-8K6G 1.8M,Tripp Lite,Cables,24.0
8817002,P568-010-8K6G,Tripp Lite HDMI 2.1 P568-010-8K6G 3M,Tripp Lite,Cables,29.0
8817003,15428,Monoprice HDMI 15428 1.8M,Monoprice,Cables,9.0
8817004,15429,Monoprice HDMI 15429 3M,Monoprice,Cables,12.0
8071537,127361.8MFLAT,Monoprice Flat HDMI 12736 1.8M Flat,Monoprice,Cables,11.0
8000901,HD2MM7MA7M,StarTech HDMI Active HD2MM7MA 7M,StarTech,Cables,44.0
8095488,F2CD028BT1M,Belkin HDMI to VGA F2CD028bt1M,Belkin,Cables,18.0
