sku,mfg_part_no,product_name,brand,category,base_price
8001079,USB-C,Dell WD19S 130W,Dell,Docking,219.0
8007105,TB3,Dell WD19TBS Thunderbolt,Dell,Docking,299.0
8085582,TB4,Dell WD22TB4 Thunderbolt 4,Dell,Docking,379.0
8087908,USB-C,Dell D6000S Universal,Dell,Docking,249.0
8001107,USB-C,Dell DA305 USB-C 6-in-1,Dell,Docking,59.0
8001114,USB-C,Dell WD19DC Performance,Dell,Docking,399.0
8001121,USB-C,HP G5 Essential Dock 65W,HP,Docking,139.0
8001128,USB-C,HP G5 Essential Dock 120W,HP,Docking,179.0
8001135,USB-C,HP USB-C G5 700,HP,Docking,199.0
8085631,TB4,HP Thunderbolt G4 120W,HP,Docking,299.0
8001149,USB-C,HP G2 Essential Dock 65W,HP,Docking,119.0
8001156,USB-C,HP USB-C Travel Hub G3,HP,Docking,49.0
8007182,TB3,HP Thunderbolt G2 230W,HP,Docking,349.0
8001170,USB-C,Lenovo Universal USB-C Dock,Lenovo,Docking,199.0
8085666,TB4,Lenovo Universal Thunderbolt 4,Lenovo,Docking,329.0
8087992,USB-C,Lenovo Hybrid USB-C+USB-A,Lenovo,Docking,179.0
8001191,USB-C,Lenovo Go USB-C Laptop Hub,Lenovo,Docking,99.0
8001198,USB-C,Lenovo USB-C to 8-in-1 Hub,Lenovo,Docking,79.0
8007224,TB3,Lenovo Thunderbolt 3 WS Dock,Lenovo,Docking,349.0
8085701,TB4,CalDigit TS4 Thunderbolt 4,CalDigit,Docking,399.0
8007238,TB3,CalDigit TS3 Plus,CalDigit,Docking,249.0
8085715,TB4,CalDigit Element Hub TB4,CalDigit,Docking,199.0
8007252,TB3,CalDigit Thunderbolt Stn 3 Mini,CalDigit,Docking,109.0
8033248,USB4,Kensington SD4840P USB4,Kensington,Docking,239.0
8001247,USB-C,Kensington SD4900P USB-C,Kensington,Docking,149.0
8001254,USB-C,Kensington SD2500T USB-C 5Gbps,Kensington,Docking,79.0
8001261,USB-C,Kensington SD4700P Dual 4K,Kensington,Docking,179.0
8061850,SURFACECONN,Microsoft Surface Dock 2,Microsoft,Docking,259.0
8085764,TB4,Apple Thunderbolt 4 Pro Hub,Apple,Docking,299.0
8085771,TB4,Belkin Connect Pro TB4,Belkin,Docking,299.0
8085778,TB4,Anker Apex TB4 Dock,Anker,Docking,249.0
8001296,USB-C,Plugable USB-C Triple Monitor,Plugable,Docking,189.0
8001303,USB-C,Plugable UD-ULTC4K USB-C,Plugable,Docking,149.0
8085799,TB4,Plugable Thunderbolt 4 Hub,Plugable,Docking,149.0
8001317,USB-C,StarTech DK30C2DAGPD USB-C,StarTech,Docking,199.0
8001324,USB-C,StarTech MST30C2DPPD12,StarTech,Docking,99.0
8085820,TB4,OWC Thunderbolt 4 Dock,OWC,Docking,249.0
8001338,USB-C,OWC USB-C Travel Dock E,OWC,Docking,69.0
8085834,TB4,Satechi TB4 Multimedia Pro,Satechi,Docking,279.0
8001352,USB-C,Satechi Slim USB-C Adapter,Satechi,Docking,79.0
8001359,USB-C,Targus USB-C Dual 4K Dock,Targus,Docking,169.0
8067510,USB-A,Targus DOCK180 Universal,Targus,Docking,99.0
8001373,USB-C,j5create JCD543 USB-C 10-in-1,j5create,Docking,89.0
8006470,USB-C,Brydge W-Max II Wireless,Brydge,Docking,149.0
8001387,USB-C,IOGEAR USB-C Travel Dock,IOGEAR,Docking,79.0
8001394,USB-C,Dell DA310 8-in-1 USB-C,Dell,Docking,89.0
8001401,USB-C,HP USB-C Universal Dock G2,HP,Docking,159.0
8001408,USB-C,StarTech MST30C2DPPD USB-C MST,StarTech,Docking,179.0
8001415,USB-C,Plugable UD-USBC-DP Dock,Plugable,Docking,99.0
8067566,USB-A,Dell D1000 USB-A Dock (legacy),Dell,Docking,89.0
8001429,USB-C,Belkin Boost USB-C Hub 4K,Belkin,Docking,79.0
8001436,USB-C,HP USB-C Travel Hub G2,HP,Docking,49.0
8001443,USB-C,j5create USB-C 10-in-1 Pro,j5create,Docking,119.0
