sku,mfg_part_no,product_name,brand,category,base_price
8947291,SNS5540I51245008G256G,Dell Latitude 5540 (Core i5-1345U/8GB DDR4/256GB SSD),Dell,Laptops,899.0
8947292,SNS5540I71612516G,Dell Latitude 5540 (Core i7-1365U/16GB DDR4/512GB SSD),Dell,Laptops,1099.0
8947293,SNS5540I71332T,Dell Latitude 5540 (Core i7-1355U/32GB DDR4/1TB SSD),Dell,Laptops,1349.0
8961101,SNS7440I516512,Dell Latitude 7440 (Core i5-1345U/16GB LPDDR5/512GB SSD),Dell,Laptops,1299.0
8961102,SNS7440I716512,Dell Latitude 7440 (Core i7-1365U/16GB LPDDR5/512GB SSD),Dell,Laptops,1499.0
8961103,SNS7440I7V321T,Dell Latitude 7440 (Core i7-1365U vPro/32GB LPDDR5/1TB SSD),Dell,Laptops,1799.0
8961201,SNS9440I516512,Dell Latitude 9440 (Core i5-1345U/16GB LPDDR5/512GB SSD),Dell,Laptops,1499.0
8961202,SNS9440I716512,Dell Latitude 9440 (Core i7-1365U/16GB LPDDR5/512GB SSD),Dell,Laptops,1699.0
8961203,SNS9440I7V321T,Dell Latitude 9440 (Core i7-1365U vPro/32GB LPDDR5/1TB SSD),Dell,Laptops,1999.0
8955401,SNS3581I7H16512,Dell Precision 3581 (Core i7-13700H/16GB DDR5/512GB SSD),Dell,Laptops,1999.0
8955402,SNS3581I9H321T,Dell Precision 3581 (Core i9-13900H/32GB DDR5/1TB SSD),Dell,Laptops,2499.0
8955403,SNS3581I9HX642T,Dell Precision 3581 (Core i9-13900HX/64GB DDR5/2TB SSD),Dell,Laptops,3199.0
8031161,5550,Dell Latitude 5550 (Core i5-1345U/16GB DDR4/512GB SSD),Dell,Laptops,1049.0
8031168,5550,Dell Latitude 5550 (Core i7-1365U/32GB DDR4/1TB SSD),Dell,Laptops,1299.0
8031175,5550,Dell Latitude 5550 (Core i7-1365U vPro/32GB DDR4/1TB SSD),Dell,Laptops,1499.0
8013353,3540,Dell Latitude 3540 (Core i3-1315U/8GB DDR4/256GB SSD),Dell,Laptops,649.0
8013360,3540,Dell Latitude 3540 (Core i5-1335U/16GB DDR4/512GB SSD),Dell,Laptops,799.0
8013367,3540,Dell Latitude 3540 (Core i5-1335U/16GB DDR4/512GB SSD),Dell,Laptops,849.0
8939001,6F6E5EA,HP EliteBook 840 G10 (Core i5-1345U/8GB DDR5/256GB SSD),HP,Laptops,999.0
8939003,6F6H5EA,HP EliteBook 840 G10 (Core i7-1355U/16GB DDR5/512GB SSD),HP,Laptops,1249.0
8939004,6F6J5EA,HP EliteBook 840 G10 (Core i7-1365U/32GB DDR5/1TB SSD),HP,Laptops,1549.0
8939102,8A4Q9EA,HP EliteBook 860 G10 (Core i5-1345U/16GB DDR5/512GB SSD),HP,Laptops,1149.0
8939103,8A4R9EA,HP EliteBook 860 G10 (Core i7-1360P/16GB DDR5/512GB SSD),HP,Laptops,1399.0
8939104,8A4S9EA,HP EliteBook 860 G10 (Core i7-1365U/32GB DDR5/1TB SSD),HP,Laptops,1699.0
8941501,8U6C8EA,HP ZBook Firefly 14 G10 (Core i7-1355U/16GB DDR5/512GB SSD),HP,Laptops,1799.0
8941502,8U6D8EA,HP ZBook Firefly 14 G10 (Core i7-1365U/32GB DDR5/1TB SSD),HP,Laptops,2199.0
8941503,8U6E8EA,HP ZBook Firefly 14 G10 (Core i9-1385U/64GB DDR5/2TB SSD),HP,Laptops,2799.0
