sku,mfg_part_no,product_name,brand,category,base_price
8850001,KVR32N22S8/8,Kingston DDR4 DIMM KVR32N22S8/8,Kingston,Memory,22.0
8850002,KVR32N22D8/16,Kingston DDR4 DIMM KVR32N22D8/16,Kingston,Memory,38.0
8850003,KVR32N22D8/32,Kingston DDR4 DIMM KVR32N22D8/32,Kingston,Memory,72.0
8086742,KVR26N19D8,Kingston DDR4 DIMM KVR26N19D8/16,Kingston,Memory,32.0
8850004,KVR48U40BS8-16,Kingston DDR5 DIMM KVR48U40BS8-16,Kingston,Memory,45.0
8850005,KVR48U40BD8-32,Kingston DDR5 DIMM KVR48U40BD8-32,Kingston,Memory,85.0
8023944,KVR56U46BD8-32,Kingston DDR5 DIMM KVR56U46BD8-32,Kingston,Memory,89.0
8851001,KVR32S22S8/8,Kingston DDR4 SO-DIMM KVR32S22S8/8,Kingston,Memory,22.0
8851002,KVR32S22S8/16,Kingston DDR4 SO-DIMM KVR32S22S8/16,Kingston,Memory,38.0
8851003,KVR32S22D8/32,Kingston DDR4 SO-DIMM KVR32S22D8/32,Kingston,Memory,72.0
8851004,KVR56S46BS8-16,Kingston DDR5 SO-DIMM KVR56S46BS8-16,Kingston,Memory,48.0
8852001,KSM32SES8/8MR,Kingston ECC DDR4 KSM32SES8/8MR,Kingston,Memory,55.0
8852002,KSM32SES8/16MR,Kingston ECC DDR4 KSM32SES8/16MR,Kingston,Memory,89.0
8852003,KSM32SED8/32MR,Kingston ECC DDR4 KSM32SED8/32MR,Kingston,Memory,155.0
8055338,DTXM,Kingston USB Flash DTXM/64GB,Kingston,Memory,12.0
8028888,DTXM,Kingston USB Flash DTXM/128GB,Kingston,Memory,20.0
8033941,DT100G3,Kingston USB Flash DT100G3/256GB,Kingston,Memory,28.0
8059407,IKS1000E,Kingston Encrypted USB IKS1000E/32GB,Kingston,Memory,55.0
8016036,DTVP30,Kingston Encrypted USB DTVP30/32GB,Kingston,Memory,89.0
8855001,CT8G4DFS832A,Crucial DDR4 DIMM CT8G4DFS832A,Crucial,Memory,19.0
8072033,CT8G4DFRA32A,Crucial DDR4 DIMM CT8G4DFRA32A,Crucial,Memory,20.0
8855002,CT16G4DFRA32A,Crucial DDR4 DIMM CT16G4DFRA32A,Crucial,Memory,35.0
8855003,CT32G56C46U5,Crucial DDR5 DIMM CT32G56C46U5,Crucial,Memory,79.0
8856001,CT16G4SFRA32A,Crucial DDR4 SO-DIMM CT16G4SFRA32A,Crucial,Memory,32.0
8084718,CT16G56C46S5,Crucial DDR5 SO-DIMM CT16G56C46S5,Crucial,Memory,45.0
8045982,CT500MX500SSD1,Crucial 2.5 SATA SSD CT500MX500SSD1,Crucial,Memory,59.0
8025217,CT1000MX500SSD1,Crucial 2.5 SATA SSD CT1000MX500SSD1,Crucial,Memory,79.0
8072198,CT2000MX500SSD1,Crucial 2.5 SATA SSD CT2000MX500SSD1,Crucial,Memory,139.0
8010332,CT500P3PSSD8,Crucial M.2 NVMe SSD CT500P3PSSD8,Crucial,Memory,55.0
8067635,CT1000P3PSSD8,Crucial M.2 NVMe SSD CT1000P3PSSD8,Crucial,Memory,79.0
