sku,mfg_part_no,product_name,brand,category,base_price
8938901,DELL-U2422H,Dell UltraSharp U2422H,Dell,Monitors,269.0
8938902,DELL-U2422HX,Dell UltraSharp U2422HX,Dell,Monitors,319.0
8938981,DELL-U2722D,Dell UltraSharp U2722D,Dell,Monitors,479.0
8938982,DELL-U2722DE,Dell UltraSharp U2722DE,Dell,Monitors,549.0
8947001,DELL-U2724D,Dell UltraSharp U2724D,Dell,Monitors,569.0
8938983,DELL-U3223QE,Dell UltraSharp U3223QE,Dell,Monitors,799.0
8938984,DELL-U3423WE,Dell UltraSharp U3423WE,Dell,Monitors,879.0
8938985,DELL-U4323QE,Dell UltraSharp U4323QE,Dell,Monitors,1099.0
8938980,DELL-U2720Q,Dell UltraSharp U2720Q,Dell,Monitors,549.0
8935101,DELL-P2422H,Dell P-Series P2422H,Dell,Monitors,199.0
8935102,DELL-P2722H,Dell P-Series P2722H,Dell,Monitors,229.0
8935103,DELL-P2723DE,Dell P-Series P2723DE,Dell,Monitors,379.0
8937001,DELL-C2422HE,Dell C-Series C2422HE,Dell,Monitors,489.0
8937002,DELL-C2722DE,Dell C-Series C2722DE,Dell,Monitors,649.0
8932001,65N61AA,HP E-Series E22 G5,HP,Monitors,179.0
8932002,9VH72AA,HP E-Series E24 G5,HP,Monitors,219.0
8932003,9VH73AA,HP E-Series E24u G5,HP,Monitors,279.0
8932004,9VH74AA,HP E-Series E27 G5,HP,Monitors,379.0
8932005,9VH75AA,HP E-Series E27u G5,HP,Monitors,429.0
8932006,9VH76AA,HP E-Series E32k G5,HP,Monitors,549.0
8933001,6UF97AA,HP Z-Series Z24q G3,HP,Monitors,329.0
8933002,6UF98AA,HP Z-Series Z27k G3,HP,Monitors,479.0
8933003,6UF99AA,HP Z-Series Z34c G3,HP,Monitors,599.0
8051216,24BQ75C,LG Business 24BQ75C,LG,Monitors,299.0
8948001,27BQ75QB-B,LG Business 27BQ75QB,LG,Monitors,379.0
8948002,32BQ75C-B,LG Business 32BQ75C,LG,Monitors,549.0
8948003,34WQ75C-B,LG UltraWide 34WQ75C,LG,Monitors,649.0
8065256,S27A600NWN,Samsung Business S27A600NWN,Samsung,Monitors,319.0
8002113,S32A600NWN,Samsung Business S32A600NWN,Samsung,Monitors,399.0
8030851,S60UA27,"Samsung ViewFinity S60UA 27""",Samsung,Monitors,349.0
8064979,S80PB32,"Samsung ViewFinity S80PB 32""",Samsung,Monitors,499.0
8944001,63A2MAT1EU,Lenovo ThinkVision T24i-30,Lenovo,Monitors,209.0
8944002,63A3MAT1EU,Lenovo ThinkVision T27h-30,Lenovo,Monitors,399.0
8944003,63B2MAT6WW,Lenovo ThinkVision T32p-30,Lenovo,Monitors,649.0
8944004,62B5MAT2EU,Lenovo ThinkVision P27h-30,Lenovo,Monitors,549.0
8033257,P40W-20,Lenovo ThinkVision P40w-20,Lenovo,Monitors,1099.0
8035234,E24-30,Lenovo ThinkVision E24-30,Lenovo,Monitors,189.0
8043884,E27Q-30,Lenovo ThinkVision E27q-30,Lenovo,Monitors,279.0
8027815,RD280U,BenQ RD Series RD280U,BenQ,Monitors,499.0
8060937,EW2480,BenQ EW Series EW2480,BenQ,Monitors,199.0
8078777,EW2880U,BenQ EW Series EW2880U,BenQ,Monitors,399.0
8050035,E244FL,NEC MultiSync E244FL,NEC,Monitors,299.0
8070276,EA271U,NEC MultiSync EA271U,NEC,Monitors,649.0
8037457,PA279CRV,ASUS ProArt PA279CRV,ASUS,Monitors,649.0
8086008,PA32UCX,ASUS ProArt PA32UCX,ASUS,Monitors,1299.0
8024109,VP2768A,ViewSonic VP Series VP2768a,ViewSonic,Monitors,379.0
8089923,VP3268-4K,ViewSonic VP Series VP3268-4K,ViewSonic,Monitors,549.0
8046493,27B2U7903,Philips B Line 27B2U7903,Philips,Monitors,699.0
8065922,27E1N1300A,Philips E Line 27E1N1300A,Philips,Monitors,279.0
8027838,V246HQL,Acer Veriton V246HQL,Acer,Monitors,149.0
8082101,E24DG4,HP E-Series E24d G4,HP,Monitors,249.0
8029645,U2421E,Dell UltraSharp U2421E,Dell,Monitors,449.0
8087972,P3222QE,Dell P-Series P3222QE,Dell,Monitors,599.0
8060221,27BN88U-B,LG Ergo 27BN88U-B,LG,Monitors,699.0
8074124,32BN88U-B,LG Ergo 32BN88U-B,LG,Monitors,849.0
8014608,S8U32,"Samsung ViewFinity S8U 32""",Samsung,Monitors,549.0
8094720,M14T,Lenovo ThinkVision M14t,Lenovo,Monitors,299.0
8057671,S27CG4,HP S-Series S27c G4,HP,Monitors,199.0
8067088,CM3271K,Acer ConceptD CM3271K,Acer,Monitors,499.0
8095721,BE24EQSB,ASUS Business BE24EQSB,ASUS,Monitors,199.0
8004229,U2422H,Dell UltraSharp U2422H (VESA),Dell,Monitors,249.0
8050804,U2722D,Dell UltraSharp U2722D (VESA),Dell,Monitors,459.0
8051522,Z25XSG3,HP Z-Series Z25xs G3,HP,Monitors,499.0
8014266,ME431,NEC MultiSync ME431,NEC,Monitors,999.0
8018516,PLL2450MW,Planar PLL Series PLL2450MW,Planar,Monitors,249.0
8013488,PN-BC272,Sharp PN-Series PN-BC272,Sharp,Monitors,399.0
8033399,EV2360-BK,Eizo FlexScan EV2360-BK,Eizo,Monitors,599.0
8065958,EV2740X-BK,Eizo FlexScan EV2740X-BK,Eizo,Monitors,1099.0
8010182,EV2495-BK,Eizo FlexScan EV2495-BK,Eizo,Monitors,699.0
8046283,24MEDICAL,"Barco MDRC-2124 24"" Medical",Barco,Monitors,999.0
8938901,DELL-U2422H,Dell UltraSharp U2422H,Dell,Monitors,269.0
8938902,DELL-U2422HX,Dell UltraSharp U2422HX,Dell,Monitors,319.0
8938981,DELL-U2722D,Dell UltraSharp U2722D,Dell,Monitors,479.0
8938982,DELL-U2722DE,Dell UltraSharp U2722DE,Dell,Monitors,549.0
8947001,DELL-U2724D,Dell UltraSharp U2724D,Dell,Monitors,569.0
8938983,DELL-U3223QE,Dell UltraSharp U3223QE,Dell,Monitors,799.0
8938984,DELL-U3423WE,Dell UltraSharp U3423WE,Dell,Monitors,879.0
8938985,DELL-U4323QE,Dell UltraSharp U4323QE,Dell,Monitors,1099.0
