sku,mfg_part_no,product_name,brand,category,base_price
8901001,CBS110-16T-NA,Cisco Switch CBS110-16T-NA,Cisco,Networking,129.0
8901002,CBS110-24T-NA,Cisco Switch CBS110-24T-NA,Cisco,Networking,169.0
8902001,CBS250-8T-D-NA,Cisco Switch CBS250-8T-D-NA,Cisco,Networking,179.0
8902002,CBS250-16T-2G-NA,Cisco Switch CBS250-16T-2G-NA,Cisco,Networking,249.0
8902003,CBS250-24T-4G-NA,Cisco Switch CBS250-24T-4G-NA,Cisco,Networking,299.0
8902004,CBS250-48T-4G-NA,Cisco Switch CBS250-48T-4G-NA,Cisco,Networking,399.0
8902005,CBS250-24FP-4G-NA,Cisco Switch CBS250-24FP-4G-NA,Cisco,Networking,449.0
8065747,CBS350-8MGP-2X-NA,Cisco Switch CBS350-8MGP-2X-NA,Cisco,Networking,449.0
8013990,CBS350-16P-2G-NA,Cisco Switch CBS350-16P-2G-NA,Cisco,Networking,349.0
8903001,CBS350-24T-4G-NA,Cisco Switch CBS350-24T-4G-NA,Cisco,Networking,429.0
8903002,CBS350-24P-4G-NA,Cisco Switch CBS350-24P-4G-NA,Cisco,Networking,629.0
8903003,CBS350-48T-4X-NA,Cisco Switch CBS350-48T-4X-NA,Cisco,Networking,749.0
8903004,CBS350-48P-4X-NA,Cisco Switch CBS350-48P-4X-NA,Cisco,Networking,1049.0
8903005,CBS350-48FP-4X-NA,Cisco Switch CBS350-48FP-4X-NA,Cisco,Networking,1399.0
8903006,CBS350-24XS-NA,Cisco Switch CBS350-24XS-NA,Cisco,Networking,1999.0
8904001,C1000-24T-4G-L,Cisco Switch C1000-24T-4G-L,Cisco,Networking,349.0
8904002,C1000-48T-4G-L,Cisco Switch C1000-48T-4G-L,Cisco,Networking,549.0
8904003,C1000-48FP-4G-L,Cisco Switch C1000-48FP-4G-L,Cisco,Networking,999.0
8004295,C9120AXI-B,Cisco AP C9120AXI-B,Cisco,Networking,899.0
8037179,C9136I-B,Cisco AP C9136I-B,Cisco,Networking,1499.0
8030568,CW9162I-B,Cisco AP CW9162I-B,Cisco,Networking,899.0
8063759,CW9164I-B,Cisco AP CW9164I-B,Cisco,Networking,1299.0
8068733,FG-40FEQUIVFTD-1010,Cisco Firewall FG-40F equiv FTD-1010,Cisco,Networking,599.0
8037219,C1101-4P,Cisco Router C1101-4P,Cisco,Networking,699.0
8025028,C1111-8P,Cisco Router C1111-8P,Cisco,Networking,999.0
8911001,MS120-8FP-HW,Meraki Switch MS120-8FP-HW,Meraki,Networking,949.0
8911002,MS120-24-HW,Meraki Switch MS120-24-HW,Meraki,Networking,1099.0
