sku,mfg_part_no,product_name,brand,category,base_price
8800001,920-010903,Logitech Keyboard MX Keys for Business / 920-010903,Logitech,Peripherals,79.0
8800002,920-002478,Logitech Keyboard K120 / 920-002478,Logitech,Peripherals,17.0
8800003,920-004536,Logitech Keyboard K270 / 920-004536,Logitech,Peripherals,29.0
8800004,920-009588,Logitech Keyboard K380 / 920-009588,Logitech,Peripherals,39.0
8800005,920-009166,Logitech Keyboard K860 / 920-009166,Logitech,Peripherals,129.0
8800006,920-004536,Logitech Keyboard MK270 Combo / 920-004536,Logitech,Peripherals,34.0
8800007,920-008219,Logitech Keyboard MK850 Combo / 920-008219,Logitech,Peripherals,99.0
8072738,K235,Logitech Keyboard K235 / 920-007759,Logitech,Peripherals,24.0
8092168,MK710COMBO,Logitech Keyboard MK710 Combo / 920-002419,Logitech,Peripherals,79.0
8806001,ANB-00001,Microsoft Keyboard Wired 600 / ANB-00001,Microsoft,Peripherals,23.0
8806002,PT3-00001,Microsoft Keyboard Wireless 900 / PT3-00001,Microsoft,Peripherals,29.0
8806003,LXM-00001,Microsoft Keyboard Ergonomic / LXM-00001,Microsoft,Peripherals,99.0
8806004,QSZ-00001,Microsoft Keyboard Bluetooth / QSZ-00001,Microsoft,Peripherals,49.0
8061752,SURFACEPROSIGNATURE,Microsoft Keyboard Surface Pro Signature / 8XA-00001,Microsoft,Peripherals,179.0
8024531,PROFITERGOWIRELESS,Kensington Keyboard Pro Fit Ergo Wireless / K75401US,Kensington,Peripherals,59.0
8016876,BUSINESSSLIMWIRED,HP Keyboard Business Slim Wired / H1D63AA,HP,Peripherals,29.0
8020452,TRACKPOINTII,Lenovo Keyboard TrackPoint II / 4Y40X49493,Lenovo,Peripherals,79.0
8038693,PROWIRELESS,Dell Keyboard Pro Wireless / KB740,Dell,Peripherals,49.0
8801001,910-006582,Logitech Mouse MX Master 3S Biz / 910-006582,Logitech,Peripherals,89.0
8801002,910-006652,Logitech Mouse M100 / 910-006652,Logitech,Peripherals,13.0
8801003,910-006127,Logitech Mouse M220 Silent / 910-006127,Logitech,Peripherals,22.0
8801004,910-001935,Logitech Mouse M705 / 910-001935,Logitech,Peripherals,49.0
8801005,910-006216,Logitech Mouse MX Anywhere 3 Biz / 910-006216,Logitech,Peripherals,59.0
8040119,M510,Logitech Mouse M510 / 910-001822,Logitech,Peripherals,37.0
8072263,MXVERTICAL,Logitech Mouse MX Vertical / 910-005447,Logitech,Peripherals,89.0
8087180,MXERGOPLUS,Logitech Mouse MX ERGO Plus / 910-005178,Logitech,Peripherals,109.0
8061474,WIRELESS900MOUSE,Microsoft Mouse Wireless 900 Mouse,Microsoft,Peripherals,29.0
8053042,ARCMOUSE,Microsoft Mouse Arc Mouse / ELG-00001,Microsoft,Peripherals,79.0
8028447,CLASSICINTELLIMOUSE,Microsoft Mouse Classic IntelliMouse / HDQ-00001,Microsoft,Peripherals,39.0
8024636,PROFITERGO,Kensington Mouse Pro Fit Ergo / K75403WW,Kensington,Peripherals,39.0
8024643,PROFITMID-SIZE,Kensington Mouse Pro Fit Mid-Size / K72423WW,Kensington,Peripherals,29.0
8049313,EXPERTWIRELESSTRACKB,Kensington Mouse Expert Wireless Trackball / K72359WW,Kensington,Peripherals,79.0
8061500,SLIMBLADEPRO,Kensington Mouse SlimBlade Pro / K72081WW,Kensington,Peripherals,99.0
8802001,960-001257,Logitech Webcam C920s / 960-001257,Logitech,Peripherals,69.0
8802002,960-001075,Logitech Webcam C925e / 960-001075,Logitech,Peripherals,99.0
8802003,960-000971,Logitech Webcam C930e / 960-000971,Logitech,Peripherals,129.0
8802004,960-001585,Logitech Webcam Brio 100 / 960-001585,Logitech,Peripherals,49.0
8802005,960-001413,Logitech Webcam Brio 300 / 960-001413,Logitech,Peripherals,69.0
8802006,960-001586,Logitech Webcam Brio 505 / 960-001585,Logitech,Peripherals,99.0
8098334,BRIOULTRAHD4K,Logitech Webcam Brio Ultra HD 4K / 960-001105,Logitech,Peripherals,159.0
8089900,STUDIOE50,Poly Webcam Studio E50 / 7230-87145-001,Poly,Peripherals,149.0
8844002,8300-119,Jabra Webcam PanaCast 20 / 8300-119,Jabra,Peripherals,249.0
8083476,MODERNWEBCAM,Microsoft Webcam Modern Webcam / 8L3-00001,Microsoft,Peripherals,69.0
8079863,620FHD,HP Webcam 620 FHD / 6Y7L2AA,HP,Peripherals,79.0
8017280,9604K,HP Webcam 960 4K / 695J5AA,HP,Peripherals,179.0
8803001,26699-989-899,Jabra Headset Evolve2 20 / 26699-989-899,Jabra,Peripherals,69.0
8803002,26699-989-998,Jabra Headset Evolve2 40 SE / 26699-989-998,Jabra,Peripherals,129.0
8803003,25599-999-999,Jabra Headset Evolve2 55 / 25599-999-999,Jabra,Peripherals,249.0
8803004,27599-999-999,Jabra Headset Evolve2 75 / 27599-999-999,Jabra,Peripherals,329.0
8803005,28599-999-999,Jabra Headset Evolve2 85 / 28599-999-999,Jabra,Peripherals,449.0
8088024,BIZ2300,Jabra Headset BIZ 2300 / 2393-829-109,Jabra,Peripherals,99.0
8071046,ENGAGE50IIUC,Jabra Headset Engage 50 II UC / 5093-299-299,Jabra,Peripherals,199.0
8000856,ENGAGE75STEREO,Jabra Headset Engage 75 Stereo / 9559-583-125,Jabra,Peripherals,499.0
8804001,85Z99AA,Poly Headset Voyager Focus 2 / 85Z99AA,Poly,Peripherals,209.0
8804002,218471-01,Poly Headset Voyager 4310 / 218471-01,Poly,Peripherals,89.0
8804003,209749-101,Poly Headset Blackwire C3225 / 209749-101,Poly,Peripherals,69.0
8033497,BLACKWIRE3220,Poly Headset Blackwire 3220 / 212700-01,Poly,Peripherals,59.0
8096057,VOYAGER5200,Poly Headset Voyager 5200 / 207044-01,Poly,Peripherals,99.0
8805001,1000550,EPOS Headset ADAPT 130 USB-C / 1000550,EPOS,Peripherals,79.0
8040628,ADAPT261USB-C,EPOS Headset ADAPT 261 USB-C / 1001139,EPOS,Peripherals,149.0
8805002,1000637,EPOS Headset ADAPT 661 / 1000637,EPOS,Peripherals,299.0
8061525,SC165USB,Sennheiser Headset SC 165 USB / 508318,Sennheiser,Peripherals,99.0
8079736,MB660,Sennheiser Headset MB 660 / 508392,Sennheiser,Peripherals,399.0
8012213,H570ESTEREO,Logitech Headset H570e Stereo / 981-000572,Logitech,Peripherals,79.0
8088685,H820ESTEREO,Logitech Headset H820e Stereo / 981-000512,Logitech,Peripherals,179.0
8014285,ZONE300,Logitech Headset Zone 300 / 981-001218,Logitech,Peripherals,49.0
8019259,ZONEWIREDEARBUDS,Logitech Headset Zone Wired Earbuds / 981-001009,Logitech,Peripherals,79.0
8086007,EVOLVE2BUDS,Jabra Earbuds Evolve2 Buds / 20797-999-999,Jabra,Peripherals,199.0
8807003,7700-309,Jabra Speakerphone Speak2 55 / 7700-309,Jabra,Peripherals,269.0
8085431,SPEAK275,Jabra Speakerphone Speak2 75 / 7700-309,Jabra,Peripherals,449.0
8841003,216873-01,Poly Speakerphone Sync 40 / 216873-01,Poly,Peripherals,159.0
8841004,216877-01,Poly Speakerphone Sync 60 / 216877-01,Poly,Peripherals,399.0
8007326,EXPAND40,EPOS Speakerphone EXPAND 40 / 1001097,EPOS,Peripherals,149.0
8054288,SPOTLIGHT,Logitech Presenter Spotlight / 910-004861,Logitech,Peripherals,99.0
8049614,EXPERTWIRELESS,Kensington Presenter Expert Wireless / 72426AM,Kensington,Peripherals,69.0
8028762,CS540,Plantronics Headset CS540 / 84692-01,Plantronics,Peripherals,179.0
8032946,TRIOC60,Poly Speakerphone Trio C60 / 2200-15965-019,Poly,Peripherals,799.0
8072634,MXVERTICAL,Logitech Pointing Dev MX Vertical / 910-005447,Logitech,Peripherals,89.0
8024979,PROFITERGOFULL,Kensington Pointing Dev Pro Fit Ergo Full / K75401US,Kensington,Peripherals,59.0
8011970,MS5320WMULTI-DEVICE,Dell Mouse MS5320W Multi-Device / MS5320W,Dell,Peripherals,39.0
8070834,ZONETRUEWIRELESS,Logitech Headset Zone True Wireless / 985-001149,Logitech,Peripherals,249.0
8071256,ENGAGE55MONO,Jabra Headset Engage 55 Mono / 9555-470-111,Jabra,Peripherals,299.0
8063370,SAVI7310,Poly Headset Savi 7310 / 2355-49 Office,Poly,Peripherals,249.0
