sku,mfg_part_no,product_name,brand,category,base_price
8830001,BX700U-LM,APC UPS BX700U-LM,APC,Power,99.0
8830002,BX1000M-LM60,APC UPS BX1000M,APC,Power,149.0
8830003,BX1500M,APC UPS BX1500M,APC,Power,189.0
8830004,BR1500G,APC UPS BR1500G,APC,Power,229.0
8082426,SMT750I-6W,APC UPS SMT750I-6W,APC,Power,399.0
8831001,SMT1000RM2UC,APC UPS SMT1000RM2UC,APC,Power,499.0
8831002,SMT1500RM2UC,APC UPS SMT1500RM2UC,APC,Power,649.0
8831003,SMT2200RM2UC,APC UPS SMT2200RM2UC,APC,Power,849.0
8059236,SMTL1000RM2UC,APC UPS SMTL1000RM2UC,APC,Power,549.0
8067227,SMX3000RMHV2U,APC UPS SMX3000RMHV2U,APC,Power,1299.0
8831004,SRT1000RMXLA,APC UPS SRT1000RMXLA,APC,Power,899.0
8831005,SRT3000RMXLA-NC,APC UPS SRT3000RMXLA-NC,APC,Power,1999.0
8006285,SRTL5KRM4UXLI,APC UPS SRTL5KRM4UXLI,APC,Power,3999.0
8835001,AP7920B,APC PDU AP7920B,APC,Power,499.0
8835002,AP7922B,APC PDU AP7922B,APC,Power,599.0
8085180,P11VT311-OUTLET,APC Surge P11VT3 11-Outlet,APC,Power,39.0
8092033,RBC2REPLACEMENT,APC Battery RBC2 Replacement,APC,Power,69.0
8023301,RBC33REPLACEMENT,APC Battery RBC33 Replacement,APC,Power,149.0
8035352,CP900AVR,CyberPower UPS CP900AVR,CyberPower,Power,89.0
8832001,CP1000PFCLCD,CyberPower UPS CP1000PFCLCD,CyberPower,Power,149.0
8832002,CP1500PFCLCD,CyberPower UPS CP1500PFCLCD,CyberPower,Power,189.0
8085612,OR1000LCDRM1U,CyberPower UPS OR1000LCDRM1U,CyberPower,Power,199.0
8832003,OL1500RTXL2U,CyberPower UPS OL1500RTXL2U,CyberPower,Power,699.0
8832004,OL2200RTXL2U,CyberPower UPS OL2200RTXL2U,CyberPower,Power,899.0
8032313,PR3000LCDRTXL2U,CyberPower UPS PR3000LCDRTXL2U,CyberPower,Power,1099.0
8089017,PDU15MHVIEC12,CyberPower PDU PDU15MHVIEC12,CyberPower,Power,149.0
8065096,PDU30MHVIEC12,CyberPower PDU PDU30MHVIEC12,CyberPower,Power,249.0
8833001,5P1000,Eaton UPS 5P1000,Eaton,Power,349.0
8833002,5P1500R,Eaton UPS 5P1500R,Eaton,Power,499.0
8098509,5SC1500,Eaton UPS 5SC1500,Eaton,Power,599.0
8833003,9PX1000RT,Eaton UPS 9PX1000RT,Eaton,Power,999.0
8031693,5PX2200RT2U,Eaton UPS 5PX2200RT2U,Eaton,Power,1499.0
8043658,5PX3000RT2U,Eaton UPS 5PX3000RT2U,Eaton,Power,1999.0
8007254,744-A3342-001REPL.,Eaton Battery 744-A3342-001 Repl.,Eaton,Power,199.0
