sku,mfg_part_no,product_name,brand,category,base_price
8870001,G3Q47A,HP LaserJet Pro M203dw / G3Q47A,HP,Printers,199.0
8870002,W1A30A,HP LaserJet Pro M283fdw / W1A30A,HP,Printers,299.0
8870003,W1A53A,HP LaserJet Pro M404dn / W1A53A,HP,Printers,299.0
8870004,W1A56A,HP LaserJet Pro M404dw / W1A56A,HP,Printers,349.0
8870005,W1A77A,HP LaserJet Pro M479fdw / W1A77A,HP,Printers,549.0
8010574,M479DW,HP LaserJet Pro M479dw / W1A77A,HP,Printers,549.0
8870006,1PV87A,HP LaserJet Ent M507dn / 1PV87A,HP,Printers,549.0
8870007,7PS84A,HP LaserJet Ent M611dn / 7PS84A,HP,Printers,649.0
8871001,W1Y44A,HP Color LJ Pro M454dn / W1Y44A,HP,Printers,399.0
8871002,W1Y45A,HP Color LJ Pro M454dw / W1Y45A,HP,Printers,449.0
8871003,7ZU78A,HP Color LJ Ent M555dn / 7ZU78A,HP,Printers,649.0
8872001,3PZ55A,HP LaserJet MFP M430f / 3PZ55A,HP,Printers,499.0
8091969,586DN,HP PageWide Ent 586dn / G1W39A,HP,Printers,999.0
8875101,5HB07A,"HP DesignJet T230 36"" / 5HB07A",HP,Printers,849.0
8875102,Y3C65A,"HP DesignJet T630 36"" / Y3C65A",HP,Printers,1299.0
8086889,T930PS36,"HP DesignJet T930 PS 36"" / C2W22A",HP,Printers,2999.0
8014819,HL-L5100DN,Brother Laser HL-L5100DN,Brother,Printers,249.0
8873001,HLL6210DW,Brother Laser HL-L6210DW,Brother,Printers,399.0
8011032,HL-L8360CDW,Brother Laser HL-L8360CDW,Brother,Printers,349.0
8023127,MFC-L2750DW,Brother Laser MFP MFC-L2750DW / MFCL2750DW,Brother,Printers,249.0
8873003,MFCL6915DW,Brother Laser MFP MFC-L6915DW / MFCL6915DW,Brother,Printers,649.0
8873002,MFCL8905CDW,Brother Laser MFP MFC-L8905CDW / MFCL8905CDW,Brother,Printers,549.0
8072861,MFC-J6945DW,Brother Inkjet MFP MFC-J6945DW,Brother,Printers,299.0
8874001,29S0060,Lexmark Laser MS431dn / 29S0060,Lexmark,Printers,369.0
8874002,36S0300,Lexmark Laser MS531dw / 36S0300,Lexmark,Printers,449.0
8874003,29S0210,Lexmark Laser MFP MX431adw / 29S0210,Lexmark,Printers,399.0
8018776,MX622ADE,Lexmark Laser MFP MX622ade / 36S9120,Lexmark,Printers,649.0
8874004,40N9010,Lexmark Color Laser CS531dw / 40N9010,Lexmark,Printers,449.0
8087741,CX431ADW,Lexmark Color MFP CX431adw / 36S0920,Lexmark,Printers,499.0
8875001,3258C002,Canon Laser MFP imageRUNNER 1643iF,Canon,Printers,649.0
8875002,5765C002,Canon Color Laser imageRUNNER C3226i,Canon,Printers,849.0
8013091,IMAGECLASSLBP632CDW,Canon Laser imageCLASS LBP632Cdw,Canon,Printers,299.0
8088007,PIXMATR8620A,Canon Inkjet PIXMA TR8620a / 4463C002,Canon,Printers,149.0
