sku,mfg_part_no,product_name,brand,category,base_price
8795001,K64431WW,Kensington Laptop Lock ClickSafe 2.0 K64431WW,Kensington,Security,39.0
8795002,K68100AM,Kensington Laptop Lock MiniSaver K68100AM,Kensington,Security,44.0
8795003,K65020WW,Kensington Laptop Lock MicroSaver 2.0 K65020WW,Kensington,Security,34.0
8029050,DESKTOPKEYEDK67915,Kensington Laptop Lock Desktop Keyed K67915,Kensington,Security,44.0
8001592,BUNGEEAIRSMARTK67792,Kensington Laptop Lock BungeeAir Smart K67792AM,Kensington,Security,69.0
8067913,COMBINATIONULTRAK646,Kensington Cable Lock Combination Ultra K64676WW,Kensington,Security,29.0
8075725,SECURITYANCHORSA3600,Kensington Cable Lock Security Anchor SA3600ST,Kensington,Security,49.0
8076806,DEFCONULTIMATEASP96G,Targus Laptop Lock DEFCON Ultimate ASP96GL,Targus,Security,44.0
8068433,DEFCONCLX10ASP86GLX,Targus Laptop Lock DEFCON CLX10 ASP86GLX,Targus,Security,59.0
8027929,DEFCONT-LOCKASOT01US,Targus Cable Lock DEFCON T-Lock ASOT01USZ,Targus,Security,44.0
8061731,SURFACEGOLOCKSCMKL,Compulock Cable Lock Surface Go Lock SCMKL,Compulock,Security,34.0
8797001,5060408461426,YubiKey Security Key 5 NFC / 5060408461426,YubiKey,Security,55.0
8797002,5060408461440,YubiKey Security Key 5C NFC / 5060408461440,YubiKey,Security,60.0
8797003,5060408461457,YubiKey Security Key 5Ci / 5060408461457,YubiKey,Security,75.0
8797004,5060408461464,YubiKey Security Key 5C Nano / 5060408461464,YubiKey,Security,60.0
8797006,5060408461471,YubiKey Security Key 5 Nano / 5060408461471,YubiKey,Security,55.0
8051754,BIOSERIES,YubiKey Security Key Bio Series / 5060408461587,YubiKey,Security,80.0
8075979,FIPSSERIES5CNFC,YubiKey Security Key FIPS Series 5C NFC,YubiKey,Security,90.0
8042858,FIPS5NFC,YubiKey Security Key FIPS 5 NFC,YubiKey,Security,85.0
8062627,YUBIHSM2,YubiKey HSM YubiHSM 2 / 5060408461594,YubiKey,Security,650.0
8021393,TITANBT,Google Security Key Titan BT / H4B-0010001,Google,Security,30.0
8090483,T2F2-NFC,Token2 Security Key T2F2-NFC,Token2,Security,25.0
8798001,R31210315-1,HID Smart Card Reader OMNIKEY 3121 / R31210315-1,HID,Security,45.0
8798002,R50220310-1,HID Smart Card Reader OMNIKEY 5022 CL / R50220310-1,HID,Security,69.0
8005934,OMNIKEY5427CK,HID Smart Card Reader OMNIKEY 5427 CK / R540270310-1,HID,Security,89.0
8005941,OMNIKEY3121USB-C,HID Smart Card Reader OMNIKEY 3121 USB-C,HID,Security,49.0
8798003,905430-1,Identiv Smart Card Reader SCR3310v2.0 / 905430-1,Identiv,Security,29.0
8798004,7700706-01,Identiv Smart Card Reader SCR331 / 7700706-01,Identiv,Security,24.0
8063664,CLOUD3700F,Identiv NFC Reader CLOUD 3700F / 905479-2,Identiv,Security,79.0
8060622,ACR38U-I1,ACR Smart Card Reader ACR38U-I1 / API-ACR38U-REID,ACR,Security,22.0
8799001,900NTNNEK20000,HID Badge Reader multiCLASS SE RP40 / 900NTNNEK20000,HID,Security,129.0
8799002,900NTNNEK00000,HID Badge Reader iCLASS SE R10 / 900NTNNEK00000,HID,Security,89.0
8013953,MAXIPROX5375,HID RFID Reader MAXIPROX 5375 / 5375AGN00,HID,Security,99.0
8020641,SCHLAGEMTB,Allegion Reader Schlage MTB / MTB-1E,Allegion,Security,299.0
8081529,OMNICLASS2.0,Honeywell Reader OmniClass 2.0 / OM55BHOND0N,Honeywell,Security,119.0
8799003,BEW2-ODB,Suprema Reader BioEntry W2 / BEW2-ODB,Suprema,Security,349.0
8011719,FACESTATION2,Suprema Reader FaceStation 2 / FS2-AOC,Suprema,Security,899.0
8034401,FR1500FINGERPRINT,ZKTeco Reader FR1500 Fingerprint,ZKTeco,Security,179.0
8006480,ARC-UID-OBBLE+RFID,STid Reader ARC-UID-OB BLE+RFID,STid,Security,199.0
8073129,A4010-E,Axis Reader A4010-E / 01083-001,Axis,Security,249.0
8085154,T11SF,Gallagher Reader T11 SF / C30203,Gallagher,Security,199.0
8012552,LNL-2020DUALREADER,Lenel Reader LNL-2020 Dual Reader,Lenel,Security,149.0
8020704,SCHLAGEAD-SERIESCO-2,Allegion Controller Schlage AD-Series CO-200,Allegion,Security,499.0
8029111,PW6K1ICPRO-WATCHPANE,Honeywell Controller PW6K1IC Pro-Watch Panel,Honeywell,Security,699.0
8047915,LNL-1320POEDOORCTRL,Lenel Controller LNL-1320 PoE Door Ctrl,Lenel,Security,499.0
8083894,IPELECTRICSTRIKEHES9,Assa Abloy Controller IP Electric Strike HES 9600,Assa Abloy,Security,249.0
8048946,GOVPIVCARD,HID PIV Card Gov PIV Card (single),HID,Security,8.0
8031710,ICLASSSECARDS25-PACK,HID RFID Card iCLASS SE Cards 25-pack,HID,Security,49.0
8069566,PROXKEYFOB134625-PAC,HID RFID Fob Prox Keyfob 1346 25-pack,HID,Security,79.0
8010429,UTRUST4701F25-PACK,Identiv RFID Card uTrust 4701 F 25-pack,Identiv,Security,99.0
8013189,SAFENETLUNANETWORKHS,Thales HSM SafeNet Luna Network HSM 7,Thales,Security,19999.0
8023650,NSHIELDSOLOXC,Entrust HSM nShield Solo XC,Entrust,Security,14999.0
8097735,ARD-AYK10KEYPADREADE,Bosch Reader ARD-AYK10 Keypad Reader,Bosch,Security,149.0
8088351,EGT-2DBENTRAGUARD,Keri Systems Controller EGT-2DB Entraguard,Keri Systems,Security,799.0
8043875,BIOLITEN2,Suprema Reader BioLite N2 / BLN2-ODB,Suprema,Security,249.0
8041002,SIGNO40K,HID Reader Signo 40K / SIG40KKBNNEK00,HID,Security,99.0
8054175,SIGNO20K,HID Reader Signo 20K / SIG20KKBNNEK00,HID,Security,79.0
8012915,A8105-ENETWORKI,Axis Reader A8105-E Network I/O Relay,Axis,Security,349.0
8020816,SCHLAGENDE80WIRELESS,Allegion Lock Schlage NDE80 Wireless,Allegion,Security,649.0
8020823,SCHLAGELEDOORLOCK,Allegion Lock Schlage LE Door Lock,Allegion,Security,999.0
8064956,HIDEDGEEVOENT,ASSA ABLOY Lock HID Edge EVO ENT,ASSA ABLOY,Security,799.0
8033965,SAFLOKRFIDHOTEL,Dormakaba Lock Saflok RFID Hotel,Dormakaba,Security,399.0
8062582,H5A-B2-30V-DP2MP,Avigilon Camera H5A-B2-30V-DP 2MP,Avigilon,Security,649.0
8051756,M3106-LMKII4MP,Axis Camera M3106-L Mk II 4MP,Axis,Security,499.0
8072900,QNV-8080R5MP,Hanwha Camera QNV-8080R 5MP,Hanwha,Security,349.0
8040899,VMSXPROTECTEXPRESS+,Milestone Software VMS XProtect Express+,Milestone,Security,149.0
8076145,SECURITYCENTERLICENS,Genetec Software Security Center License,Genetec,Security,299.0
8070197,DUALIN-LINELAPTOPLOC,Kensington Laptop Lock Dual In-Line Laptop Lock K64447WW,Kensington,Security,59.0
8068853,DEFCONCOMPACTLOCKASP,Targus Laptop Lock DEFCON Compact Lock ASP90GL,Targus,Security,29.0
8076166,SECURITYKEYNFC,YubiKey Security Key Security Key NFC / 5060408461433,YubiKey,Security,29.0
8023137,SCR3500MICRO,Identiv Smart Card Reader SCR3500 Micro / 905431-1,Identiv,Security,39.0
8006263,OMNIKEYSWING,HID Badge Reader OMNIKEY Swing / 5127-900-HP,HID,Security,119.0
8057288,CORESTATIONCS-40CONT,Suprema Reader CoreStation CS-40 Controller,Suprema,Security,1299.0
