sku,mfg_part_no,product_name,brand,category,base_price
8970101,MPQA3LL/A,Apple iPad 10th Gen MPQA3LL/A 64GB,Apple,Tablets,449.0
8970102,MPQC3LL/A,Apple iPad 10th Gen MPQC3LL/A 256GB,Apple,Tablets,599.0
8970103,MK2L3LL/A,Apple iPad 9th Gen MK2L3LL/A 64GB,Apple,Tablets,329.0
8970104,MV2K3LL/A,Apple iPad mini MV2K3LL/A 128GB,Apple,Tablets,499.0
8970201,MUVD2LL/A,"Apple iPad Air M2 MUVD2LL/A 11"" 128GB",Apple,Tablets,599.0
8970202,MUVH2LL/A,"Apple iPad Air M2 MUVH2LL/A 11"" 256GB",Apple,Tablets,749.0
8970203,MUVJ2LL/A,"Apple iPad Air M2 MUVJ2LL/A 13"" 128GB",Apple,Tablets,799.0
8060339,MV4V2LL,"Apple iPad Air M2 5G MV4V2LL/A 11"" 256GB 5G",Apple,Tablets,849.0
8970301,MXDG3LL/A,"Apple iPad Pro M4 MXDG3LL/A 11"" 256GB",Apple,Tablets,999.0
8970302,MXDJ3LL/A,"Apple iPad Pro M4 MXDJ3LL/A 11"" 512GB",Apple,Tablets,1199.0
8970303,MXMR3LL/A,"Apple iPad Pro M4 MXMR3LL/A 13"" 256GB",Apple,Tablets,1299.0
8970304,MXMT3LL/A,"Apple iPad Pro M4 MXMT3LL/A 13"" 512GB",Apple,Tablets,1499.0
8011417,MXMV3LL,"Apple iPad Pro M4 MXMV3LL/A 13"" 1TB",Apple,Tablets,1899.0
8020186,MXDF3LL,"Apple iPad Pro M4 5G MXDF3LL/A 11"" 256GB 5G",Apple,Tablets,1199.0
8975001,SM-X510NZAAXAR,"Samsung Galaxy Tab S9 FE SM-X510NZAAXAR 10.9""",Samsung,Tablets,449.0
8975002,SM-X616BZAAXAR,"Samsung Galaxy Tab S9 FE+ SM-X616BZAAXAR 12.4"" 5G",Samsung,Tablets,649.0
8975003,SM-X710NZAAXAR,"Samsung Galaxy Tab S9 SM-X710NZAAXAR 11""",Samsung,Tablets,799.0
8062147,SM-X810NZAAXAR12.4,"Samsung Galaxy Tab S9+ SM-X810NZAAXAR 12.4""",Samsung,Tablets,999.0
8074902,SM-X910NZAAXAR14.6,"Samsung Galaxy Tab S9 Ultra SM-X910NZAAXAR 14.6""",Samsung,Tablets,1199.0
8043429,SM-X210NZAAXAR11,"Samsung Galaxy Tab A9+ SM-X210NZAAXAR 11""",Samsung,Tablets,299.0
8975004,SM-X306BZAAXAR,Samsung Galaxy Tab Active5 SM-X306BZAAXAR LTE,Samsung,Tablets,549.0
8000431,SM-X306BZAAXAR5G,Samsung Galaxy Tab Active5 5G SM-X306BZAAXAR 5G,Samsung,Tablets,649.0
8976001,QHB-00001,Microsoft Surface Pro 9 i5 QHB-00001,Microsoft,Tablets,1299.0
8976002,QHC-00001,Microsoft Surface Pro 9 i7 QHC-00001,Microsoft,Tablets,1699.0
8976003,ZHX-00001,Microsoft Surface Pro 10 i5 ZHX-00001,Microsoft,Tablets,1499.0
8976004,ZHX-00010,Microsoft Surface Pro 10 i7 ZHX-00010,Microsoft,Tablets,1799.0
8087944,ZHX-00020,Microsoft Surface Pro 10 5G ZHX-00020,Microsoft,Tablets,1699.0
8010511,XHT-00001,Microsoft Surface Go 4 XHT-00001,Microsoft,Tablets,579.0
8026979,XNX18,Dell Latitude 7320 Detachable i5 XNX18,Dell,Tablets,1199.0
8027684,XNX19,Dell Latitude 7320 Detachable i7 XNX19,Dell,Tablets,1499.0
8042916,ZAAN0183US10.6,"Lenovo Tab M10 Plus Gen 3 ZAAN0183US 10.6""",Lenovo,Tablets,229.0
8025039,ZACH0178US12.7,"Lenovo Tab P12 ZACH0178US 12.7""",Lenovo,Tablets,349.0
8075236,82QS0000US13.3,"Lenovo IdeaPad Duet 5 Chrome 82QS0000US 13.3""",Lenovo,Tablets,449.0
8036681,401N0UA,HP Elite x2 G8 i5 401N0UA,HP,Tablets,1299.0
8035932,401P0UA,HP Elite x2 G8 i7 401P0UA,HP,Tablets,1549.0
8977001,ET40BB-001A1B0A0NA,"Zebra ET40 Rugged 8"" ET40BB-001A1B0A0NA",Zebra,Tablets,849.0
8977002,ET45BA-101B1B0A0NA,"Zebra ET45 Rugged 10"" ET45BA-101B1B0A0NA",Zebra,Tablets,1299.0
8048847,ET65AW-221B1B0A0NA,"Zebra ET65 Rugged 10"" ET65AW-221B1B0A0NA",Zebra,Tablets,1499.0
8084706,RTL10B1-3A11X1P,Zebra L10ax Rugged RTL10B1-3A11X1P,Zebra,Tablets,2499.0
8978001,FZ-G2AZ001VM,Panasonic Toughbook FZ-G2 FZ-G2AZ001VM,Panasonic,Tablets,2999.0
8978002,FZ-M1EFAABM,Panasonic Toughbook FZ-M1 FZ-M1EFAABM,Panasonic,Tablets,2299.0
8078859,FZ-A3AFFAABM,Panasonic Toughbook A3 FZ-A3AFFAABM,Panasonic,Tablets,1799.0
8979001,FE21TCKFAXXX,Getac Rugged Tablet F110 G6 F110 G6 / FE21TCKFAXXX,Getac,Tablets,3499.0
8070559,V110G7,Getac Rugged Tablet V110 G7 V110 G7 / VL21TCDIAAXX,Getac,Tablets,3999.0
8090233,EDA51-0-B623SAGOK,Honeywell ScanPal EDA51 EDA51-0-B623SAGOK,Honeywell,Tablets,699.0
8054135,TC720L-0ME24B0A00NA,Zebra TC72 Mobile Computer TC720L-0ME24B0A00NA,Zebra,Tablets,1199.0
8093927,RT10A-L10-0CN21S0E,Honeywell RT10A Rugged RT10A-L10-0CN21S0E,Honeywell,Tablets,1499.0
8038726,944400000,Datalogic Memor 11 944400000,Datalogic,Tablets,799.0
8067204,AIM-6510.1,"Advantech Rugged AIM-65 AIM-65 10.1""",Advantech,Tablets,1999.0
8012382,12.4-INCH,Microsoft Surface Laptop Go 3 12.4-inch,Microsoft,Tablets,999.0
8074866,SM-X115NZAAXAR,"Samsung Galaxy Tab A9 8.7"" SM-X115NZAAXAR",Samsung,Tablets,229.0
8073812,MLWL3LL,Apple iPad mini 6 64GB MLWL3LL/A,Apple,Tablets,499.0
8032767,SM-X706BZAAXAR5G,Samsung Galaxy Tab S8 FE SM-X706BZAAXAR 5G,Samsung,Tablets,449.0
8034934,20UW000FUS,Lenovo ThinkPad X12 Detachable 20UW000FUS,Lenovo,Tablets,1399.0
8049285,2TS93UT,HP Pro x2 612 G2 2TS93UT,HP,Tablets,699.0
8086371,MUVF2LL,"Apple iPad Air M2 13"" 256GB MUVF2LL/A",Apple,Tablets,1099.0
8092651,ET55BT-G21E-00A610,"Zebra ET55 Business ET55BT-G21E-00A6 10""",Zebra,Tablets,799.0
8032297,CF-33LECHAVM12,"Panasonic Toughbook CF-33 CF-33LECHAVM 12""",Panasonic,Tablets,2999.0
8010083,T800G2,Getac Rugged Tablet T800 G2 T800 G2,Getac,Tablets,1999.0
8029613,RQ9800000003,Cipherlab Tablet RQ98 RQ9800000003,Cipherlab,Tablets,1299.0
8092400,TB900000G2W13,Unitech Tablet TB90 TB900000G2W13,Unitech,Tablets,999.0
8021671,EF50110.1,"Bluebird Tablet EF501 EF501 10.1""",Bluebird,Tablets,1099.0
8071004,COREI7-1260U,Dell Latitude 9330 2-in-1 Core i7-1260U,Dell,Tablets,1799.0
8081886,2-IN-1,HP Dragonfly Folio G3 2-in-1,HP,Tablets,1899.0
8068478,SM-T577UZAAXSP,Samsung Galaxy Tab Active3 SM-T577UZAAXSP,Samsung,Tablets,449.0
8075815,20RK000AUS,Lenovo ThinkPad X1 Fold 20RK000AUS,Lenovo,Tablets,1999.0
8021280,SLZ-00001,Microsoft Surface Book 3 i7 SLZ-00001,Microsoft,Tablets,1799.0
8052604,MXDL3LL,"Apple iPad Pro M4 1TB 11"" MXDL3LL/A",Apple,Tablets,1599.0
8095365,SM-X516BZAAXAR5G,Samsung Galaxy Tab S9 FE 5G SM-X516BZAAXAR 5G,Samsung,Tablets,529.0
8019776,TC57HO-1SNZU4P,Zebra TC57 Touch Computer TC57HO-1SNZU4P,Zebra,Tablets,1099.0
8081275,CT40-L0N-28R10DE,Honeywell Dolphin CT40 CT40-L0N-28R10DE,Honeywell,Tablets,899.0
8070557,ZD11BKWI5TAX,"Getac ZX10 10"" ZD11BKWI5TAX",Getac,Tablets,2299.0
8082673,FZ-T1AEAAEBM,Panasonic Toughbook FZ-T1 FZ-T1AEAAEBM,Panasonic,Tablets,1299.0
8088894,TC83B0-3005A410NA,Zebra TC8300 Touch Computer TC83B0-3005A410NA,Zebra,Tablets,1599.0
8034301,943500039,Datalogic Skorpio X5 943500039,Datalogic,Tablets,1199.0
8022956,AIM-35T01N-G40301C,"Advantech AIM-35 5"" AIM-35T01N-G40301C",Advantech,Tablets,1099.0
8970101,MPQA3LL/A,Apple iPad 10th Gen MPQA3LL/A 64GB,Apple,Tablets,449.0
