sku,mfg_part_no,product_name,brand,category,base_price
8840001,960-001339,Logitech Video Bar Rally Bar Mini / 960-001339,Logitech,VideoConf,1799.0
8840002,960-001308,Logitech Video Bar Rally Bar / 960-001308,Logitech,VideoConf,2499.0
8840003,960-001227,Logitech Camera Rally Camera / 960-001227,Logitech,VideoConf,999.0
8840004,960-001101,Logitech Video System MeetUp / 960-001101,Logitech,VideoConf,799.0
8840005,952-000091,Logitech Controller Tap IP / 952-000091,Logitech,VideoConf,549.0
8083504,TAPSCHEDULER,Logitech Controller Tap Scheduler / 952-000090,Logitech,VideoConf,449.0
8012963,C930EBUSINESS,Logitech Camera C930e Business / 960-000971,Logitech,VideoConf,129.0
8098110,BRIOULTRAHD4K,Logitech Camera Brio Ultra HD 4K / 960-001105,Logitech,VideoConf,159.0
8841001,7230-87160-001,Poly Video Bar Studio E70 / 7230-87160-001,Poly,VideoConf,2499.0
8841002,2200-69370-001,Poly Video Bar Studio R30 / 2200-69370-001,Poly,VideoConf,799.0
8087714,E704K4-CAMERAARRAY,Poly Camera E70 4K 4-Camera Array,Poly,VideoConf,2999.0
8068518,EAGLEEYECUBE,Poly Camera EagleEye Cube / 8409-65480-014,Poly,VideoConf,399.0
8841003,216873-01,Poly Speakerphone Sync 40 / 216873-01,Poly,VideoConf,159.0
8841004,216877-01,Poly Speakerphone Sync 60 / 216877-01,Poly,VideoConf,399.0
8032512,TRIOC60,Poly Phone Trio C60 / 2200-15965-019,Poly,VideoConf,799.0
8844001,8300-115,Jabra Video Bar PanaCast 50 / 8300-115,Jabra,VideoConf,1299.0
8844002,8300-119,Jabra Camera PanaCast 20 / 8300-119,Jabra,VideoConf,249.0
8015985,PANACAST180°,Jabra Camera PanaCast 180° / 8300-119X,Jabra,VideoConf,699.0
8844003,7700-309,Jabra Speakerphone Speak2 55 UC / 7700-309,Jabra,VideoConf,269.0
8844004,7700-409,Jabra Speakerphone Speak2 75 UC / 7700-309X,Jabra,VideoConf,449.0
8842001,MVC-A20-010,Yealink Video Bar MeetingBar A20,Yealink,VideoConf,899.0
8842002,MVC-A30-011,Yealink Video Bar MeetingBar A30,Yealink,VideoConf,1299.0
8842003,UVC84,Yealink Camera UVC84 4K PTZ,Yealink,VideoConf,1499.0
8068312,UVC30DESKTOP,Yealink Camera UVC30 Desktop,Yealink,VideoConf,299.0
8036507,CP925WI-FI,Yealink Speakerphone CP925 Wi-Fi,Yealink,VideoConf,299.0
8013412,CP960TEAMS,Yealink Phone CP960 Teams,Yealink,VideoConf,549.0
8076400,MVC640TEAMSBUNDLE,Yealink Video System MVC640 Teams Bundle,Yealink,VideoConf,2499.0
8843001,CS-ROOMBAR-K9,Cisco Video Bar Room Bar,Cisco,VideoConf,1499.0
8843002,CS-ROOMBAR-PRO-K9,Cisco Video Bar Room Bar Pro,Cisco,VideoConf,2999.0
8088954,QUADCAMERA,Cisco Camera Quad Camera,Cisco,VideoConf,3999.0
