sku,mfg_part_no,product_name,brand,category,base_price
,210-BDYD,Dell OptiPlex OptiPlex 3000 SFF,Dell,Desktops,550
,210-BDYH,Dell OptiPlex OptiPlex 5000 SFF,Dell,Desktops,750
,210-BDYP,Dell OptiPlex OptiPlex 7000 Tower,Dell,Desktops,1100
,6B2N3UT,HP EliteDesk EliteDesk 800 G9 SFF,HP,Desktops,800
,6B2P0UT,HP EliteDesk EliteDesk 800 G9 Tower,HP,Desktops,1200
,11T8001VUS,Lenovo ThinkCentre ThinkCentre M70s Gen 3,Lenovo,Desktops,750
,11TA001MUS,Lenovo ThinkCentre ThinkCentre M80t Gen 3,Lenovo,Desktops,1100
,MMFK3LL/A,Apple Mac Mini Mac Mini,Apple,Desktops,1399
,210-BCUH,Dell Precision Precision 3660 Tower,Dell,Desktops,2200
,7D1P7UT,HP Z2 Tower Z2 Tower G9,HP,Desktops,3500
