sku,mfg_part_no,product_name,brand,category,base_price
,210-BFCL,Dell Latitude Latitude 5540,Dell,Laptops,900
,210-BFCM,Dell Latitude Latitude 5540,Dell,Laptops,1150
,210-BFHZ,Dell Latitude Latitude 7440,Dell,Laptops,1400
,81A14UT,HP EliteBook EliteBook 840 G10,HP,Laptops,1050
,819Y9UT,HP EliteBook EliteBook 840 G10,HP,Laptops,1300
,81A20UT,HP EliteBook EliteBook 860 G10,HP,Laptops,1600
,21JK0001US,Lenovo ThinkPad ThinkPad E14 Gen 5,Lenovo,Laptops,750
,21H1001BUS,Lenovo ThinkPad ThinkPad L14 Gen 4,Lenovo,Laptops,950
,21HM006JUS,Lenovo ThinkPad ThinkPad X1 Carbon Gen 11,Lenovo,Laptops,1600
,MXK43LL/A,"Apple MacBook Pro MacBook Pro 14""",Apple,Laptops,1999
,MXCR3LL/A,"Apple MacBook Air MacBook Air 13""",Apple,Laptops,1099
,210-BFDO,Dell Precision Precision 3581,Dell,Laptops,2200
