sku,mfg_part_no,product_name,brand,category,base_price
,8,Kingston RAM KVR32N22S8,Kingston,Memory,
,16,Kingston RAM KVR32N22D8,Kingston,Memory,
,8MR,Kingston RAM KSM32SES8,Kingston,Memory,
,CT16G4SFRA32A,Crucial RAM CT16G4SFRA32A,Crucial,Memory,
,AM,Samsung SSD MZ-77E1T0B,Samsung,Memory,
,AM,Samsung SSD MZ-V8P1T0B,Samsung,Memory,
,WDS200T3X0E,WD SSD WDS200T3X0E,WD,Memory,
,ST4000VN006,Seagate HDD ST4000VN006,Seagate,Memory,
,64GB,Kingston USB DTXM,Kingston,Memory,
,WDBAGF0040HBK-NESN,WD Ext. Drive WDBAGF0040HBK-NESN,WD,Memory,
