sku,mfg_part_no,product_name,brand,category,base_price
,CBS350-24T-4G-NA,Cisco Switch CBS350-24T-4G-NA,Cisco,Networking,
,CBS350-24P-4G-NA,Cisco Switch CBS350-24P-4G-NA,Cisco,Networking,
,CBS350-48T-4X-NA,Cisco Switch CBS350-48T-4X-NA,Cisco,Networking,
,MS120-8FP-HW,Meraki Switch MS120-8FP-HW,Meraki,Networking,
,MR56-HW,Meraki AP MR56-HW,Meraki,Networking,
,U6-Pro-US,Ubiquiti AP U6-Pro-US,Ubiquiti,Networking,
,USW-Pro-48-POE-US,Ubiquiti Switch USW-Pro-48-POE-US,Ubiquiti,Networking,
,FG-60F,Fortinet Firewall FG-60F,Fortinet,Networking,
,FG-100F,Fortinet Firewall FG-100F,Fortinet,Networking,
,JL255A (2930F 48G),HPE Aruba Switch JL255A (2930F 48G),HPE Aruba,Networking,
