sku,mfg_part_no,product_name,brand,category,base_price
,920-010903,Logitech Keyboard MX Keys for Business,Logitech,Peripherals,
,920-002478,Logitech Keyboard K120,Logitech,Peripherals,
,910-006582,Logitech Mouse MX Master 3S for Business,Logitech,Peripherals,
,910-006652,Logitech Mouse M100,Logitech,Peripherals,
,960-001257,Logitech Webcam C920s HD Pro,Logitech,Peripherals,
,ANB-00001,Microsoft Keyboard Wired Desktop 600,Microsoft,Peripherals,
,26699-989-899,Jabra Headset Evolve2 40 SE,Jabra,Peripherals,
,27599-999-999,Jabra Headset Evolve2 75,Jabra,Peripherals,
,85Z99AA,Poly Headset Voyager Focus 2 UC,Poly,Peripherals,
,K75401US,Kensington Ergonomic Pro Fit Ergo Full-Size Wireless,Kensington,Peripherals,
